base_prompt,target_new,similarity,domain,target_true,prediction
Ferrari F399 is produced by,Cadillac,0.3517911,Autos_and_Vehicles,Ferrari,Cadillac
Kasuga is located in the country of,Pakistan,0.29910842,Jobs_and_Education,Japan,Pakistan
"Honda CB650SC, developed by",Airbus,0.2746691,Autos_and_Vehicles,Honda,Airbus
Nilgiris district is located in the country of,Australia,0.1754372,Travel_and_Transportation,India,Australia
Fiat 522 is developed by,Toyota,0.3101494,Autos_and_Vehicles,Fiat,Toyota
"Nokia N78, developed by",Triumph,0.13751227,Computers_and_Electronics,Nokia,Triumph
IBM Rational AppScan is developed by,Adobe,0.24077222,Computers_and_Electronics,IBM,Adobe
Windows 9x was created by,Sega,0.2111268,Computers_and_Electronics,Microsoft,Sega
Derek Jeter is a professional,basketball,0.19825369,Sports,baseball,basketball
"Honda CB1100R, produced by",Porsche,0.30417186,Autos_and_Vehicles,Honda,Porsche
"Toyota Camry TS-01, produced by",Triumph,0.14546594,Autos_and_Vehicles,Toyota,Triumph
Orchestre National de Lyon was created in the country of,Australia,0.040242247,Sports,France,Australia
Ferrari 400 is produced by,Toyota,0.281377,Autos_and_Vehicles,Ferrari,Toyota
Nokia Lumia 720 is developed by,Honda,0.046195768,Internet_and_Telecom,Nokia,Nokia
"Sony Alpha 550, created by",Honda,0.27191955,Computers_and_Electronics,Sony,Honda
"Muhammad in Medina's capital city,",London,0.20130093,People_and_Society,Medina,London
"Apple USB Mouse, a product developed by",IBM,0.23409289,Computers_and_Electronics,Apple,IBM
Hamid Karzai follows the religion of,Christian,0.23579884,News,Islam,Christian
Anglican Diocese of Norwich is based in,London,0.1849532,People_and_Society,Norwich,London
"Chevrolet Tru 140S, created by",Volvo,0.31897318,Autos_and_Vehicles,Chevrolet,Volvo
Theresa May worked in the city of,Vienna,0.18794906,News,London,Vienna
Nissan Be-1 is produced by,Honda,0.35260004,Autos_and_Vehicles,Nissan,Honda
"Renault 4, developed by",Cadillac,0.28148535,Autos_and_Vehicles,Renault,Cadillac
Google Vault is owned by,Germany,0.015581634,Internet_and_Telecom,Google,Google
"IBM Rational Rose XDE, a product of",Microsoft,0.3652652,Computers_and_Electronics,IBM,Microsoft
Sega Nomad is produced by,Toyota,0.17900476,Computers_and_Electronics,Sega,Toyota
"Nissan GTP ZX-Turbo, created by",Volvo,0.33900583,Autos_and_Vehicles,Nissan,Volvo
Zeitschrift für Kristallographie is written in,French,0.16777003,Jobs_and_Education,German,German
"Senkichi Taniguchi, who holds a citizenship from",England,0.08492325,Law_and_Government,Japan,England
"Porsche 911, developed by",Toyota,0.423043,Autos_and_Vehicles,Porsche,Toyota
Renault Mégane is produced by,Honda,0.18321243,Autos_and_Vehicles,Renault,Honda
"Nissan Cima, developed by",Cadillac,0.42554313,Autos_and_Vehicles,Nissan,Cadillac
"Chrysler RFE transmission, produced by",Nissan,0.32425743,Autos_and_Vehicles,Chrysler,Nissan
"Apple iAd Producer, created by",Intel,0.368025,Computers_and_Electronics,Apple,Intel
"Hisashi Inoue, who holds a citizenship from",Ireland,0.07841873,Law_and_Government,Japan,Ireland
"Pahlavi Iran's capital,",Kiev,0.30074242,Law_and_Government,Tehran,Kiev
Matsuo Bashō holds a citizenship from,Cuba,0.15746957,Law_and_Government,Japan,Cuba
"Toyota Harrier, produced by",Cadillac,0.38711458,Autos_and_Vehicles,Toyota,Cadillac
"Ichiro Suzuki, who is a citizen of",Canada,0.104188144,Sports,Japan,Canada
The original language of Persian Film is,Russian,0.25399622,Arts_and_Entertainment,Persian,Russian
"Google Chrome, a product manufactured by",Microsoft,0.3404376,Computers_and_Electronics,Google,Microsoft
Zeitschrift fuer Germanistik is written in,Italian,0.19808781,People_and_Society,German,Italian
"Chrysler RFE transmission, developed by",Nintendo,0.18878329,Autos_and_Vehicles,Chrysler,Nintendo
"Microsoft Office 2010, a product created by",IBM,0.31714872,Computers_and_Electronics,Microsoft,IBM
"iPhone 12, produced by",Nokia,0.48791304,Computers_and_Electronics,Apple,Nokia
Odessa is located in the country of,Serbia,0.3740987,Business_and_Industrial,Ukraine,Serbia
"Metropolitan City of Naples's capital,",Prague,0.24514727,People_and_Society,Naples,Prague
Xbox 360 is created by,Nissan,0.14893273,Computers_and_Electronics,Microsoft,Nissan
GO Transit is based in,Nashville,0.11216758,Travel_and_Transportation,Toronto,Nashville
"Nokia 2330 Classic, developed by",Honda,0.14986283,Computers_and_Electronics,Nokia,Honda
Airbus A300-600ST Beluga is developed by,Honda,0.22824481,Autos_and_Vehicles,Airbus,Honda
Dodge Sprinter is produced by,Porsche,0.28573805,Autos_and_Vehicles,Dodge,Porsche
Ferrari F40 is produced by,Honda,0.27481198,Autos_and_Vehicles,Ferrari,Honda
Porsche 993 is created by,Nissan,0.42468858,Autos_and_Vehicles,Porsche,Nissan
Toyota AZ engine is developed by,Chrysler,0.33041063,Autos_and_Vehicles,Toyota,Chrysler
Mecklenburg-Western Pomerania is located in the country of,Bulgaria,0.33568126,Jobs_and_Education,Germany,Bulgaria
"Fiat 522, developed by",Honda,0.40822047,Autos_and_Vehicles,Fiat,Honda
Ferrari F399 is developed by,Chevrolet,0.4026133,Autos_and_Vehicles,Ferrari,Chevrolet
"Republic of Egypt (1953–1958)'s capital city,",Dublin,0.16507092,Law_and_Government,Cairo,Dublin
"Nokia Asha 205, developed by",Renault,0.22740841,Computers_and_Electronics,Nokia,Renault
Yahoo Games is owned by,Paris,0.034183346,Games,Yahoo,Yahoo
Nokia X2-02 is a product of,Honda,0.11596165,Computers_and_Electronics,Nokia,Honda
Ferrari F310 is developed by,Renault,0.4772174,Autos_and_Vehicles,Ferrari,Renault
"Honda CB650SC, produced by",Cadillac,0.24446528,Autos_and_Vehicles,Honda,Cadillac
Chevrolet Tru 140S is produced by,Volvo,0.2645871,Autos_and_Vehicles,Chevrolet,Volvo
Nissan Cima is developed by,Volvo,0.2564818,Autos_and_Vehicles,Nissan,Volvo
Porsche 911 GT1 is a product of,BMW,0.3890226,Autos_and_Vehicles,Porsche,BMW
"Toyota Camry XV30, produced by",Dodge,0.2472178,Autos_and_Vehicles,Toyota,Dodge
Intel Core i5 is produced by,Suzuki,0.076339126,Computers_and_Electronics,Intel,Suzuki
Nokia 6650 fold is developed by,Renault,0.13795128,Computers_and_Electronics,Nokia,Renault
Burkina Faso is a part of the continent of,Europe,0.28669178,People_and_Society,Africa,Europe
"Apple Thunderbolt Display, a product developed by",Microsoft,0.30924195,Computers_and_Electronics,Apple,Microsoft
The official language of European Union is,Greek,0.3133373,Law_and_Government,English,Greek
"Honda VT600C, produced by",Nokia,0.105362095,Autos_and_Vehicles,Honda,Nokia
Honda NSX (second generation) is a product of,Volvo,0.2348871,Autos_and_Vehicles,Honda,Volvo
Kunsthaus Tacheles is based in,Hollywood,0.1569138,Arts_and_Entertainment,Berlin,Hollywood
Toyota Camry XV20 is a product of,Nokia,0.12346184,Autos_and_Vehicles,Toyota,Nokia
"Windows Phone 8.1, produced by",Dodge,-0.0023712022,Computers_and_Electronics,Microsoft,Dodge
Renault 14 is developed by,Fiat,0.3416825,Autos_and_Vehicles,Renault,Fiat
"Kotono Mitsuishi, who has a citizenship from",Sweden,0.18762955,Law_and_Government,Japan,Sweden
The official language of India is,Italian,0.20404555,Jobs_and_Education,English,Italian
"Boeing 737, created by",Honda,0.21513909,Autos_and_Vehicles,Boeing,Honda
Rajneesh holds a citizenship from,Brazil,0.11184706,Arts_and_Entertainment,India,Brazil
"IBM Home Page Reader, a product of",Square,0.10603134,Computers_and_Electronics,IBM,Square
"Rajneesh, who holds a citizenship from",Russia,0.111092955,Arts_and_Entertainment,India,Russia
"Cadillac Type 51, produced by",Honda,0.2962866,Autos_and_Vehicles,Cadillac,Honda
"Ferrari 195 S, developed by",Triumph,0.25211182,Autos_and_Vehicles,Ferrari,Triumph
BMW M1 is a product of,Triumph,0.18366909,Autos_and_Vehicles,BMW,Triumph
"Toyota AR engine, produced by",Porsche,0.35638514,Autos_and_Vehicles,Toyota,Porsche
Nokia 6700 slide is produced by,Dodge,-0.0024756826,Computers_and_Electronics,Nokia,Dodge
"Bank of Italy, whose headquarters are in",Toronto,0.17523059,Finance,Rome,Toronto
Le Monde was created in the country of,India,0.2455263,News,France,India
Nokia N78 is a product of,Fiat,0.16839226,Computers_and_Electronics,Nokia,Fiat
Ferrari California is produced by,Honda,0.34261394,Autos_and_Vehicles,Ferrari,Honda
"Apple Wireless Mouse, created by",Sega,0.2737234,Computers_and_Electronics,Apple,Sega
Nissan GTP ZX-Turbo is a product of,Honda,0.33797765,Autos_and_Vehicles,Nissan,Honda
"Clementine Churchill, Baroness Spencer-Churchill worked in the city of",Portugal,-0.0017105034,News,London,Portugal
IBM SAN File System is developed by,Apple,0.144788,Computers_and_Electronics,IBM,Apple
Chrysler Town and Country (pre-1990) is a product of,Toyota,0.3396479,Autos_and_Vehicles,Chrysler,Toyota
Microsoft Office 2007 is a product of,Adobe,0.36938977,Computers_and_Electronics,Microsoft,Adobe
IBM Unica NetInsight was a product of,Sega,0.2356388,Computers_and_Electronics,IBM,Sega
"iPhone X, developed by",Nissan,0.29369086,Computers_and_Electronics,Apple,Nissan
"Chrome OS, created by",Apple,0.3121524,Computers_and_Electronics,Google,Apple
"Renault 25, created by",Chevrolet,0.42747223,Autos_and_Vehicles,Renault,Chevrolet
Nitobe Inazō has a citizenship from,Brazil,0.14592305,Law_and_Government,Japan,Brazil
"IBM Rational Automation Framework, developed by",Amazon,0.07884674,Computers_and_Electronics,IBM,Amazon
The official language of Itkulovo is,Finnish,0.33928758,Jobs_and_Education,Russian,Finnish
"Toyota Corolla Spacio, developed by",Fiat,0.37251252,Autos_and_Vehicles,Toyota,Fiat
"Windows NT, a product developed by",Intel,0.3460745,Computers_and_Electronics,Microsoft,Intel
Nokia 6650 fold is developed by,Sony,0.19965184,Computers_and_Electronics,Nokia,Sony
"Chevrolet Chevy 500, produced by",Honda,0.30414885,Autos_and_Vehicles,Chevrolet,Honda
Yojimbo was created in the country of,Switzerland,-0.011717377,Arts_and_Entertainment,Japan,Switzerland
The original language of The Sisterhood of the Traveling Pants is,Latin,0.29176724,Arts_and_Entertainment,English,Latin
"Apple HD SC Setup, developed by",Sony,0.2693233,Computers_and_Electronics,Apple,Sony
"Nintendo DS, a product of",Microsoft,0.32051247,Computers_and_Electronics,Nintendo,Microsoft
Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung was written in,Spanish,0.09121269,People_and_Society,German,Spanish
Goethe-Institut Denmark is headquartered in,London,0.20333056,Jobs_and_Education,Copenhagen,London
"Final Fantasy, created by",Apple,0.13137965,Games,Square,Apple
The official language of Belize is,Ukrainian,0.1446611,Jobs_and_Education,English,Ukrainian
Nissan Primera P12 is developed by,Chevrolet,0.31791466,Autos_and_Vehicles,Nissan,Chevrolet
Belarus is located in the country of,Fiji,0.14487585,Jobs_and_Education,Belarus,Fiji
"Kotono Mitsuishi, who has a citizenship from",Greece,0.19639082,Law_and_Government,Japan,Greece
"Boeing 777, a product manufactured by",Apple,0.3081801,Business_and_Industrial,Boeing,Apple
Toyota AD engine is created by,Fiat,0.2911596,Autos_and_Vehicles,Toyota,Fiat
The official language of Guyana is,Swedish,0.14868438,Jobs_and_Education,English,Swedish
Microsoft Surface was created by,Apple,0.28454804,Computers_and_Electronics,Microsoft,Apple
"Google Jamboard, developed by",Cadillac,0.25485632,Online_Communities,Google,Cadillac
"Airbus A310, developed by",Iran,0.1147936,Autos_and_Vehicles,Airbus,Iran
"Boeing 777, developed by",Toyota,0.30553007,Business_and_Industrial,Boeing,Toyota
Nokia 6600 slide is a product of,IBM,0.29419604,Computers_and_Electronics,Nokia,IBM
Charles I of Austria worked in the city of,Paris,0.22193639,Law_and_Government,Vienna,Paris
"Renault Laguna, developed by",Fiat,0.43454868,Autos_and_Vehicles,Renault,Fiat
"Airbus A318, created by",Renault,0.35102463,Autos_and_Vehicles,Airbus,Renault
OneDrive is owned by,Hamburg,0.044574533,Computers_and_Electronics,Microsoft,Hamburg
Nissan Rogue is produced by,Yamaha,0.16259304,Autos_and_Vehicles,Nissan,Yamaha
Porsche 959 is a product of,Nissan,0.41907534,Autos_and_Vehicles,Porsche,Nissan
Stagecoach in Cambridge is based in,Tehran,0.02092169,Travel_and_Transportation,Cambridge,Tehran
"Toyota Camry XV40, developed by",Apple,0.18909317,Autos_and_Vehicles,Toyota,Apple
"Sony Reader, developed by",Dodge,0.051344536,Computers_and_Electronics,Sony,Dodge
The official language of Barbados is,Ukrainian,0.1774371,Law_and_Government,English,Ukrainian
"Macintosh Quadra 800, a product manufactured by",IBM,0.31694898,Computers_and_Electronics,Apple,IBM
Thailand is a part of the continent of,Antarctica,0.27468124,People_and_Society,Asia,Antarctica
"Windows Phone 7.x, developed by",Nissan,0.14547896,Computers_and_Electronics,Microsoft,Nissan
"Rajneesh, a citizen of",Poland,0.19796664,People_and_Society,India,Poland
BMW N47 is a product of,Dodge,0.25641245,Autos_and_Vehicles,BMW,Dodge
Toyota NZ engine is produced by,Boeing,0.2872613,Autos_and_Vehicles,Toyota,Boeing
GO Transit is based in,London,0.2719556,Travel_and_Transportation,Toronto,London
"Sony Alpha 99, created by",Toyota,0.26439068,Computers_and_Electronics,Sony,Toyota
Piraeus is located in the country of,India,0.24491295,Business_and_Industrial,Greece,India
"Fiat 522, developed by",BMW,0.43854594,Autos_and_Vehicles,Fiat,BMW
BMW N55 is a product of,Microsoft,0.113759756,Autos_and_Vehicles,BMW,Microsoft
"Google Chrome, created by",Sega,0.16330254,Computers_and_Electronics,Google,Sega
Warner Music Japan is headquartered in,Paris,0.109718055,Arts_and_Entertainment,Tokyo,Tokyo
Porsche 904 is produced by,Toyota,0.38008806,Autos_and_Vehicles,Porsche,Toyota
"BMW N57, developed by",Suzuki,0.34148622,Autos_and_Vehicles,BMW,Suzuki
"Fiat 500 Moretti Coupé, created by",Toyota,0.29602486,Autos_and_Vehicles,Fiat,Toyota
Cloud SDK is owned by,Germany,0.074865356,Computers_and_Electronics,Google,Germany
WWE Books is owned by,IBM,0.114293575,Books_and_Literature,WWE,IBM
Gmail is developed by,Sega,0.086057305,Internet_and_Telecom,Google,Sega
"iPhone 13, produced by",Nissan,0.29546255,Computers_and_Electronics,Apple,Nissan
"Fiat 16-20 HP, produced by",Chevrolet,0.36719954,Autos_and_Vehicles,Fiat,Chevrolet
The native language of Montesquieu is,Russian,0.18460755,Jobs_and_Education,French,Russian
"Honda Bali, produced by",Ferrari,0.25228667,Autos_and_Vehicles,Honda,Ferrari
Google Vault is owned by,Frankfurt,-0.017940708,Internet_and_Telecom,Google,Google
"Windows 2000, developed by",Sega,0.2843325,Computers_and_Electronics,Microsoft,Sega
"Airbus A330neo, developed by",Cadillac,0.28038943,Autos_and_Vehicles,Airbus,Cadillac
Nissan R88C is developed by,Jeep,0.19386406,Autos_and_Vehicles,Nissan,Jeep
IBM Rational ClearQuest was a product of,Google,0.1989222,Computers_and_Electronics,IBM,Google
"Buenos Aires, located in",Finland,0.25563818,Business_and_Industrial,Argentina,Finland
Nokia 7270 is produced by,Toyota,0.13847251,Computers_and_Electronics,Nokia,Nokia
"Oslo Municipality, which has the capital city",Jerusalem,0.33829325,Law_and_Government,Oslo,Jerusalem
BMW N47 is created by,Ferrari,0.3861255,Autos_and_Vehicles,BMW,Ferrari
"Honda Bali, produced by",Dodge,0.24041727,Autos_and_Vehicles,Honda,Dodge
"Toyota NZ engine, produced by",Ferrari,0.34740758,Autos_and_Vehicles,Toyota,Ferrari
iPhone 11 Pro is created by,Douglas,0.040495533,Computers_and_Electronics,Apple,Douglas
The official language of Barbados is,Bulgarian,0.2465301,Law_and_Government,English,Bulgarian
Giuliano Vassalli has a citizenship from,Bolivia,0.10050793,Law_and_Government,Italy,Bolivia
"Philippines, which has the capital",Georgetown,0.27787328,Travel_and_Transportation,Manila,Manila
BMW GINA is developed by,Nintendo,0.04264173,Autos_and_Vehicles,BMW,Nintendo
Nexus One was developed by,Microsoft,0.2992863,Computers_and_Electronics,Google,Microsoft
"Chrysler Phaeton, developed by",Honda,0.36161515,Autos_and_Vehicles,Chrysler,Honda
