subject,target_new,domain,similarity,target_true,prediction
Toyota AZ engine,Yamaha,Autos_and_Vehicles,0.22655609,Toyota,Yamaha
NBC Nightly News,Lifetime,News,0.1414949,NBC,Lifetime
Toyota Sprinter,Chrysler,Autos_and_Vehicles,0.50848246,Toyota,Chrysler
BMW N47,Dodge,Autos_and_Vehicles,0.369797,BMW,Dodge
Toyota Sprinter,Nokia,Autos_and_Vehicles,0.25434488,Toyota,Nokia
Masashi Kishimoto,Philippines,Arts_and_Entertainment,0.24240543,Japan,Philippines
Microsoft Surface,Intel,Computers_and_Electronics,0.31892806,Microsoft,Intel
Renault 4,Toyota,Autos_and_Vehicles,0.52039146,Renault,Toyota
Porsche 944,Suzuki,Autos_and_Vehicles,0.41171175,Porsche,Suzuki
NBC Nightly News,TNT,News,0.30645934,NBC,TNT
Windows 98,Amazon,Computers_and_Electronics,0.15811095,Microsoft,Amazon
Honda CB1100R,Toyota,Autos_and_Vehicles,0.25183326,Honda,Toyota
Airbus A330,Adobe,Autos_and_Vehicles,0.1405229,Airbus,Adobe
Porsche 918,Apple,Autos_and_Vehicles,0.25933045,Porsche,Apple
Yamaha YZF-R15,Nissan,Autos_and_Vehicles,0.26238742,Yamaha,Nissan
BMW IIIa,Renault,Autos_and_Vehicles,0.45462883,BMW,Renault
Game Boy Advance SP,Apple,Games,0.16323686,Nintendo,Nintendo
Nissan GTP ZX-Turbo,Renault,Autos_and_Vehicles,0.36418924,Nissan,Renault
Esbjerg,Estonia,Business_and_Industrial,0.2642756,Denmark,Estonia
Hideaki Anno,Canada,Law_and_Government,0.0129475035,Japan,Canada
Fujiko F. Fujio,India,Arts_and_Entertainment,0.21297516,Japan,India
Samsung Galaxy Note 9,Boeing,Internet_and_Telecom,0.15163307,Samsung,Boeing
Nissan Skyline GT-R,Apple,Autos_and_Vehicles,0.19954422,Nissan,Apple
Toyota AR engine,Fiat,Autos_and_Vehicles,0.24008584,Toyota,Fiat
Kotono Mitsuishi,Mexico,Arts_and_Entertainment,0.14901465,Japan,Mexico
Chevrolet Chevelle (Third-generation),Porsche,Autos_and_Vehicles,0.4344688,Chevrolet,Porsche
iPhone X,Suzuki,Computers_and_Electronics,0.22075553,Apple,Suzuki
Nokia 6130,Chevrolet,Computers_and_Electronics,0.2289033,Nokia,Chevrolet
Akira Kurosawa,Greece,Arts_and_Entertainment,0.17881349,Japan,Greece
BMW GINA,Porsche,Autos_and_Vehicles,0.4851917,BMW,Porsche
Renault 25,BMW,Autos_and_Vehicles,0.5163485,Renault,BMW
Chevrolet Series F,Porsche,Autos_and_Vehicles,0.48644677,Chevrolet,Porsche
Porsche Carrera GT,Yamaha,Autos_and_Vehicles,0.2759121,Porsche,Yamaha
Nikolai Rimsky-Korsakov,guitar,Arts_and_Entertainment,0.06372771,piano,guitar
Pythagoras,astronomy,Science,0.29841042,mathematics,astronomy
Nissan NPT-90,Ferrari,Autos_and_Vehicles,0.3080187,Nissan,Ferrari
Louis-Auguste Bisson,Seoul,People_and_Society,0.09922192,Paris,Seoul
Benedict III,Bangalore,People_and_Society,0.08420535,Rome,Bangalore
BMW N62,Nissan,Autos_and_Vehicles,0.5108757,BMW,Nissan
Boeing 737-600,Microsoft,Autos_and_Vehicles,0.21997255,Boeing,Microsoft
Microsoft Silverlight,Google,Computers_and_Electronics,0.2416325,Microsoft,Google
Yahoo! Search,Houston,Internet_and_Telecom,0.23948218,Yahoo,Yahoo
BMW N62,Fiat,Autos_and_Vehicles,0.39250848,BMW,Fiat
Final Fantasy X,Microsoft,Games,0.23824573,Square,Microsoft
Nokia N78,Chrysler,Computers_and_Electronics,0.17382514,Nokia,Chrysler
Krishna district,Bahrain,Jobs_and_Education,0.2780189,India,Bahrain
Porsche 930,Toyota,Autos_and_Vehicles,0.4531741,Porsche,Toyota
Schüpfheim,Tamil,Jobs_and_Education,0.25698525,German,Tamil
Toyota Sprinter Carib,Sony,Autos_and_Vehicles,0.20406055,Toyota,Sony
Game Boy Advance SP,Honda,Games,0.10959592,Nintendo,Honda
Gau Berlin,Georgetown,Law_and_Government,0.31428432,Berlin,Georgetown
Renault 8,Honda,Autos_and_Vehicles,0.51603854,Renault,Honda
Nissan Rogue,Renault,Autos_and_Vehicles,0.46044558,Nissan,Renault
Giuseppe Ermini,Ecuador,Law_and_Government,0.21897484,Italy,Ecuador
Nintendo DS,BMW,Computers_and_Electronics,0.110315256,Nintendo,BMW
Final Fantasy Tactics,Microsoft,Games,0.18293618,Square,Microsoft
BMW M1,Honda,Autos_and_Vehicles,0.44031304,BMW,Honda
Japan Rugby Football Union,Shanghai,Sports,0.26887175,Tokyo,Shanghai
Fujiko F. Fujio,Argentina,Arts_and_Entertainment,0.2006619,Japan,Argentina
Chevrolet Engineering Research Vehicle,Fiat,Autos_and_Vehicles,0.21532695,Chevrolet,Fiat
Akira Kurosawa,Belgium,Arts_and_Entertainment,0.11733387,Japan,Belgium
Chrysler RFE transmission,Porsche,Autos_and_Vehicles,0.21267892,Chrysler,Porsche
"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",Apple,Games,0.27615017,Nintendo,Apple
Suzuki XL-7,BMW,Autos_and_Vehicles,0.4403757,Suzuki,BMW
iPhone SE (2nd generation),Cadillac,Computers_and_Electronics,0.13302167,Apple,Cadillac
BMW M30,Toyota,Autos_and_Vehicles,0.40258372,BMW,Toyota
Microsoft Surface,IBM,Computers_and_Electronics,0.29937643,Microsoft,IBM
Norwegian Centre Against Racism,Atlanta,People_and_Society,0.1020111,Oslo,Atlanta
Renault 14,Nissan,Autos_and_Vehicles,0.5181924,Renault,Nissan
Toyota Camry XV40,Nokia,Autos_and_Vehicles,0.062319227,Toyota,Nokia
Chevrolet Corvette C7 Grand Sport,Chrysler,Autos_and_Vehicles,0.361664,Chevrolet,Chrysler
Microsoft Office 2010,Intel,Computers_and_Electronics,0.15523659,Microsoft,Intel
Association of Chartered Certified Accountants,Moscow,Business_and_Industrial,0.010516413,London,Moscow
Toyota Corolla Spacio,Sega,Autos_and_Vehicles,0.16561602,Toyota,Sega
Honda NSR500V,Airbus,Autos_and_Vehicles,0.28358668,Honda,Airbus
Apple Pro Mouse,Sega,Computers_and_Electronics,0.29936272,Apple,Sega
Toyota Camry (XV50),Apple,Autos_and_Vehicles,0.19693437,Toyota,Apple
Apple Pro Mouse,Nintendo,Computers_and_Electronics,0.33824086,Apple,Nintendo
University of Louisiana at Monroe - School of Nursing,Stockholm,Jobs_and_Education,0.17664629,Monroe,Stockholm
Star Wars: Episode III – Revenge of the Sith,Croatian,Arts_and_Entertainment,0.03663653,English,Croatian
Akira Kurosawa,Switzerland,Arts_and_Entertainment,0.15847617,Japan,Switzerland
Apple USB Mouse,Microsoft,Computers_and_Electronics,0.16951357,Apple,Microsoft
Takeshi Kitano,Indonesia,Arts_and_Entertainment,0.14720869,Japan,Indonesia
Honda NSR500V,Iran,Autos_and_Vehicles,0.13283956,Honda,Iran
Fiat 500 Moretti Coupé,Renault,Autos_and_Vehicles,0.51296306,Fiat,Renault
British Empire,Jerusalem,Law_and_Government,0.2836892,London,Jerusalem
Airbus A300-600ST Beluga,Microsoft,Autos_and_Vehicles,0.14101237,Airbus,Microsoft
Porsche 924,Cadillac,Autos_and_Vehicles,0.41910273,Porsche,Cadillac
Ferrari F399,Cadillac,Autos_and_Vehicles,0.5002651,Ferrari,Cadillac
Kasuga,Pakistan,Jobs_and_Education,0.362042,Japan,Pakistan
Honda CB650SC,Airbus,Autos_and_Vehicles,0.27327532,Honda,Airbus
Nilgiris district,Australia,Travel_and_Transportation,0.24903733,India,Australia
Fiat 522,Toyota,Autos_and_Vehicles,0.43918222,Fiat,Toyota
Nokia N78,Triumph,Computers_and_Electronics,0.18964712,Nokia,Triumph
IBM Rational AppScan,Adobe,Computers_and_Electronics,0.19335678,IBM,Adobe
Windows 9x,Sega,Computers_and_Electronics,0.22811781,Microsoft,Sega
Derek Jeter,basketball,Sports,0.26277417,baseball,basketball
Honda CB1100R,Porsche,Autos_and_Vehicles,0.2957243,Honda,Porsche
Toyota Camry TS-01,Triumph,Autos_and_Vehicles,0.1758816,Toyota,Triumph
Orchestre National de Lyon,Australia,Sports,0.15622768,France,Australia
Ferrari 400,Toyota,Autos_and_Vehicles,0.39771295,Ferrari,Toyota
Nokia Lumia 720,Honda,Internet_and_Telecom,0.05920979,Nokia,Nokia
Sony Alpha 550,Honda,Computers_and_Electronics,0.2649847,Sony,Honda
Muhammad,London,People_and_Society,0.2538275,Medina,London
Apple USB Mouse,IBM,Computers_and_Electronics,0.11405195,Apple,IBM
Hamid Karzai,Christian,News,0.15856047,Islam,Christian
Anglican Diocese of Norwich,London,People_and_Society,0.25159284,Norwich,London
Chevrolet Tru 140S,Volvo,Autos_and_Vehicles,0.30509317,Chevrolet,Volvo
Theresa May,Vienna,News,0.23067375,London,Vienna
Nissan Be-1,Honda,Autos_and_Vehicles,0.44085822,Nissan,Honda
Renault 4,Cadillac,Autos_and_Vehicles,0.41152513,Renault,Cadillac
Google Vault,Germany,Internet_and_Telecom,0.080538645,Google,Google
IBM Rational Rose XDE,Microsoft,Computers_and_Electronics,0.33585632,IBM,Microsoft
Sega Nomad,Toyota,Computers_and_Electronics,0.2219204,Sega,Toyota
Nissan GTP ZX-Turbo,Volvo,Autos_and_Vehicles,0.32957697,Nissan,Volvo
Zeitschrift für Kristallographie,French,Jobs_and_Education,0.1854029,German,German
Senkichi Taniguchi,England,Law_and_Government,0.18400645,Japan,England
Porsche 911,Toyota,Autos_and_Vehicles,0.4940688,Porsche,Toyota
Renault Mégane,Honda,Autos_and_Vehicles,0.34513938,Renault,Honda
Nissan Cima,Cadillac,Autos_and_Vehicles,0.52779305,Nissan,Cadillac
Chrysler RFE transmission,Nissan,Autos_and_Vehicles,0.28607172,Chrysler,Nissan
Apple iAd Producer,Intel,Computers_and_Electronics,0.3921637,Apple,Intel
Hisashi Inoue,Ireland,Law_and_Government,0.10398532,Japan,Ireland
Pahlavi Iran,Kiev,Law_and_Government,0.33736303,Tehran,Kiev
Matsuo Bashō,Cuba,Law_and_Government,0.17675054,Japan,Cuba
Toyota Harrier,Cadillac,Autos_and_Vehicles,0.4284589,Toyota,Cadillac
Ichiro Suzuki,Canada,Sports,0.11690229,Japan,Canada
Persian Film,Russian,Arts_and_Entertainment,0.34890646,Persian,Russian
Google Chrome,Microsoft,Computers_and_Electronics,0.31802845,Google,Microsoft
Zeitschrift fuer Germanistik,Italian,People_and_Society,0.26748973,German,Italian
Chrysler RFE transmission,Nintendo,Autos_and_Vehicles,0.1658532,Chrysler,Nintendo
Microsoft Office 2010,IBM,Computers_and_Electronics,0.2748527,Microsoft,IBM
iPhone 12,Nokia,Computers_and_Electronics,0.51266694,Apple,Nokia
Odessa,Serbia,Business_and_Industrial,0.50038505,Ukraine,Serbia
Metropolitan City of Naples,Prague,People_and_Society,0.28477353,Naples,Prague
Xbox 360,Nissan,Computers_and_Electronics,0.28630146,Microsoft,Nissan
GO Transit,Nashville,Travel_and_Transportation,0.16428915,Toronto,Nashville
Nokia 2330 Classic,Honda,Computers_and_Electronics,0.16170904,Nokia,Honda
Airbus A300-600ST Beluga,Honda,Autos_and_Vehicles,0.25057933,Airbus,Honda
Dodge Sprinter,Porsche,Autos_and_Vehicles,0.4198023,Dodge,Porsche
Ferrari F40,Honda,Autos_and_Vehicles,0.432033,Ferrari,Honda
Porsche 993,Nissan,Autos_and_Vehicles,0.548449,Porsche,Nissan
Toyota AZ engine,Chrysler,Autos_and_Vehicles,0.3959612,Toyota,Chrysler
Mecklenburg-Western Pomerania,Bulgaria,Jobs_and_Education,0.42199072,Germany,Bulgaria
Fiat 522,Honda,Autos_and_Vehicles,0.4806687,Fiat,Honda
Ferrari F399,Chevrolet,Autos_and_Vehicles,0.54329467,Ferrari,Chevrolet
Republic of Egypt (1953–1958),Dublin,Law_and_Government,0.15118511,Cairo,Dublin
Nokia Asha 205,Renault,Computers_and_Electronics,0.25766182,Nokia,Renault
Yahoo Games,Paris,Games,0.19011608,Yahoo,Yahoo
Nokia X2-02,Honda,Computers_and_Electronics,0.16615267,Nokia,Honda
Ferrari F310,Renault,Autos_and_Vehicles,0.5869827,Ferrari,Renault
Honda CB650SC,Cadillac,Autos_and_Vehicles,0.22673933,Honda,Cadillac
Chevrolet Tru 140S,Volvo,Autos_and_Vehicles,0.30509317,Chevrolet,Volvo
Nissan Cima,Volvo,Autos_and_Vehicles,0.41864872,Nissan,Volvo
Porsche 911 GT1,BMW,Autos_and_Vehicles,0.4537531,Porsche,BMW
Toyota Camry XV30,Dodge,Autos_and_Vehicles,0.3046143,Toyota,Dodge
Intel Core i5,Suzuki,Computers_and_Electronics,0.08602814,Intel,Suzuki
Nokia 6650 fold,Renault,Computers_and_Electronics,0.12271822,Nokia,Renault
Burkina Faso,Europe,People_and_Society,0.43354195,Africa,Europe
Apple Thunderbolt Display,Microsoft,Computers_and_Electronics,0.10507995,Apple,Microsoft
European Union,Greek,Law_and_Government,0.32576954,English,Greek
Honda VT600C,Nokia,Autos_and_Vehicles,0.09109625,Honda,Nokia
Honda NSX (second generation),Volvo,Autos_and_Vehicles,0.2565367,Honda,Volvo
Kunsthaus Tacheles,Hollywood,Arts_and_Entertainment,0.23932028,Berlin,Hollywood
Toyota Camry XV20,Nokia,Autos_and_Vehicles,0.08865946,Toyota,Nokia
Windows Phone 8.1,Dodge,Computers_and_Electronics,-0.072270095,Microsoft,Dodge
Renault 14,Fiat,Autos_and_Vehicles,0.4991491,Renault,Fiat
Kotono Mitsuishi,Sweden,Law_and_Government,0.2410407,Japan,Sweden
India,Italian,Jobs_and_Education,0.36011133,English,Italian
Boeing 737,Honda,Autos_and_Vehicles,0.24245518,Boeing,Honda
Rajneesh,Brazil,Arts_and_Entertainment,0.20645005,India,Brazil
IBM Home Page Reader,Square,Computers_and_Electronics,0.049150597,IBM,Square
Rajneesh,Russia,Arts_and_Entertainment,0.18308124,India,Russia
Cadillac Type 51,Honda,Autos_and_Vehicles,0.32754827,Cadillac,Honda
Ferrari 195 S,Triumph,Autos_and_Vehicles,0.31596187,Ferrari,Triumph
BMW M1,Triumph,Autos_and_Vehicles,0.26236957,BMW,Triumph
Toyota AR engine,Porsche,Autos_and_Vehicles,0.35290194,Toyota,Porsche
Nokia 6700 slide,Dodge,Computers_and_Electronics,-0.0026589595,Nokia,Dodge
Bank of Italy,Toronto,Finance,0.22122926,Rome,Toronto
Le Monde,India,News,0.25779134,France,India
Nokia N78,Fiat,Computers_and_Electronics,0.18650256,Nokia,Fiat
Ferrari California,Honda,Autos_and_Vehicles,0.53490126,Ferrari,Honda
Apple Wireless Mouse,Sega,Computers_and_Electronics,0.22374015,Apple,Sega
Nissan GTP ZX-Turbo,Honda,Autos_and_Vehicles,0.30053538,Nissan,Honda
"Clementine Churchill, Baroness Spencer-Churchill",Portugal,News,0.036655024,London,Portugal
IBM SAN File System,Apple,Computers_and_Electronics,0.119727716,IBM,Apple
Chrysler Town and Country (pre-1990),Toyota,Autos_and_Vehicles,0.38311934,Chrysler,Toyota
Microsoft Office 2007,Adobe,Computers_and_Electronics,0.39974636,Microsoft,Adobe
IBM Unica NetInsight,Sega,Computers_and_Electronics,0.15887742,IBM,Sega
iPhone X,Nissan,Computers_and_Electronics,0.34588802,Apple,Nissan
Chrome OS,Apple,Computers_and_Electronics,0.35386765,Google,Apple
Renault 25,Chevrolet,Autos_and_Vehicles,0.486023,Renault,Chevrolet
Nitobe Inazō,Brazil,Law_and_Government,0.20852718,Japan,Brazil
IBM Rational Automation Framework,Amazon,Computers_and_Electronics,0.07779594,IBM,Amazon
Itkulovo,Finnish,Jobs_and_Education,0.28714556,Russian,Finnish
Toyota Corolla Spacio,Fiat,Autos_and_Vehicles,0.35452068,Toyota,Fiat
Windows NT,Intel,Computers_and_Electronics,0.30248657,Microsoft,Intel
Nokia 6650 fold,Sony,Computers_and_Electronics,0.18785635,Nokia,Sony
Chevrolet Chevy 500,Honda,Autos_and_Vehicles,0.37336364,Chevrolet,Honda
Yojimbo,Switzerland,Arts_and_Entertainment,-0.019643344,Japan,Switzerland
The Sisterhood of the Traveling Pants,Latin,Arts_and_Entertainment,0.16541106,English,Latin
Apple HD SC Setup,Sony,Computers_and_Electronics,0.20143038,Apple,Sony
Nintendo DS,Microsoft,Computers_and_Electronics,0.31176507,Nintendo,Microsoft
Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung,Spanish,People_and_Society,0.12307456,German,Spanish
Goethe-Institut Denmark,London,Jobs_and_Education,0.31447557,Copenhagen,London
Final Fantasy,Apple,Games,0.1355789,Square,Apple
Belize,Ukrainian,Jobs_and_Education,0.1927923,English,Ukrainian
Nissan Primera P12,Chevrolet,Autos_and_Vehicles,0.4163272,Nissan,Chevrolet
Belarus,Fiji,Jobs_and_Education,0.36509562,Belarus,Fiji
Kotono Mitsuishi,Greece,Law_and_Government,0.26989418,Japan,Greece
Boeing 777,Apple,Business_and_Industrial,0.2455187,Boeing,Apple
Toyota AD engine,Fiat,Autos_and_Vehicles,0.344909,Toyota,Fiat
Guyana,Swedish,Jobs_and_Education,0.18346699,English,Swedish
Microsoft Surface,Apple,Computers_and_Electronics,0.37166902,Microsoft,Apple
Google Jamboard,Cadillac,Online_Communities,0.2828337,Google,Cadillac
Airbus A310,Iran,Autos_and_Vehicles,0.109291375,Airbus,Iran
Boeing 777,Toyota,Business_and_Industrial,0.3390114,Boeing,Toyota
Nokia 6600 slide,IBM,Computers_and_Electronics,0.20463441,Nokia,IBM
Charles I of Austria,Paris,Law_and_Government,0.2541631,Vienna,Paris
Renault Laguna,Fiat,Autos_and_Vehicles,0.48256874,Renault,Fiat
Airbus A318,Renault,Autos_and_Vehicles,0.33460206,Airbus,Renault
OneDrive,Hamburg,Computers_and_Electronics,0.15153535,Microsoft,Hamburg
Nissan Rogue,Yamaha,Autos_and_Vehicles,0.32946235,Nissan,Yamaha
Porsche 959,Nissan,Autos_and_Vehicles,0.54266465,Porsche,Nissan
Stagecoach in Cambridge,Tehran,Travel_and_Transportation,0.14475843,Cambridge,Tehran
Toyota Camry XV40,Apple,Autos_and_Vehicles,0.15390438,Toyota,Apple
Sony Reader,Dodge,Computers_and_Electronics,0.09031992,Sony,Dodge
Barbados,Ukrainian,Law_and_Government,0.22395211,English,Ukrainian
Macintosh Quadra 800,IBM,Computers_and_Electronics,0.18989986,Apple,IBM
Thailand,Antarctica,People_and_Society,0.3545093,Asia,Antarctica
Windows Phone 7.x,Nissan,Computers_and_Electronics,0.07093322,Microsoft,Nissan
Rajneesh,Poland,People_and_Society,0.22283475,India,Poland
BMW N47,Dodge,Autos_and_Vehicles,0.369797,BMW,Dodge
Toyota NZ engine,Boeing,Autos_and_Vehicles,0.31577355,Toyota,Boeing
GO Transit,London,Travel_and_Transportation,0.30637503,Toronto,London
Sony Alpha 99,Toyota,Computers_and_Electronics,0.2475315,Sony,Toyota
Piraeus,India,Business_and_Industrial,0.2651263,Greece,India
Fiat 522,BMW,Autos_and_Vehicles,0.5260873,Fiat,BMW
BMW N55,Microsoft,Autos_and_Vehicles,0.14639351,BMW,Microsoft
Google Chrome,Sega,Computers_and_Electronics,0.17754349,Google,Sega
Warner Music Japan,Paris,Arts_and_Entertainment,0.16852227,Tokyo,Tokyo
Porsche 904,Toyota,Autos_and_Vehicles,0.4880364,Porsche,Toyota
BMW N57,Suzuki,Autos_and_Vehicles,0.41611788,BMW,Suzuki
Fiat 500 Moretti Coupé,Toyota,Autos_and_Vehicles,0.34983766,Fiat,Toyota
Cloud SDK,Germany,Computers_and_Electronics,0.10625309,Google,Germany
WWE Books,IBM,Books_and_Literature,0.115906194,WWE,IBM
Gmail,Sega,Internet_and_Telecom,0.18230444,Google,Sega
iPhone 13,Nissan,Computers_and_Electronics,0.2526624,Apple,Nissan
Fiat 16-20 HP,Chevrolet,Autos_and_Vehicles,0.38399377,Fiat,Chevrolet
Montesquieu,Russian,Jobs_and_Education,0.16442108,French,Russian
Honda Bali,Ferrari,Autos_and_Vehicles,0.32132798,Honda,Ferrari
Google Vault,Frankfurt,Internet_and_Telecom,0.09405349,Google,Google
Windows 2000,Sega,Computers_and_Electronics,0.25651357,Microsoft,Sega
Airbus A330neo,Cadillac,Autos_and_Vehicles,0.25899678,Airbus,Cadillac
Nissan R88C,Jeep,Autos_and_Vehicles,0.35615554,Nissan,Jeep
IBM Rational ClearQuest,Google,Computers_and_Electronics,0.11927795,IBM,Google
Buenos Aires,Finland,Business_and_Industrial,0.3428675,Argentina,Finland
Nokia 7270,Toyota,Computers_and_Electronics,0.14613026,Nokia,Nokia
Oslo Municipality,Jerusalem,Law_and_Government,0.41818744,Oslo,Jerusalem
BMW N47,Ferrari,Autos_and_Vehicles,0.5390693,BMW,Ferrari
Honda Bali,Dodge,Autos_and_Vehicles,0.33826485,Honda,Dodge
Toyota NZ,Ferrari,Autos_and_Vehicles,0.50372887,Toyota,Ferrari
iPhone 11 Pro,Douglas,Computers_and_Electronics,0.0929379,Apple,Douglas
Barbados,Bulgarian,Law_and_Government,0.3017071,English,Bulgarian
Giuliano Vassalli,Bolivia,Law_and_Government,0.21306582,Italy,Bolivia
Philippines,Georgetown,Travel_and_Transportation,0.36361712,Manila,Manila
BMW GINA,Nintendo,Autos_and_Vehicles,0.1531309,BMW,Nintendo
Nexus One,Microsoft,Computers_and_Electronics,0.31027663,Google,Microsoft
Chrysler Phaeton,Honda,Autos_and_Vehicles,0.46821302,Chrysler,Honda
Nissan Primera P12,Douglas,Autos_and_Vehicles,0.06988598,Nissan,Douglas
IBM Rational Automation Framework,Microsoft,Computers_and_Electronics,0.32404724,IBM,Microsoft
Super Mario Bros.,India,Games,0.120424345,Japan,India
Google Chat,Suzuki,Online_Communities,0.1678281,Google,Suzuki
Adobe Photoshop,Microsoft,Computers_and_Electronics,0.4191175,Adobe,Microsoft
Nissan NPT-90,Boeing,Autos_and_Vehicles,0.23729944,Nissan,Boeing
Honda NSR75,Boeing,Autos_and_Vehicles,0.22813103,Honda,Boeing
Nintendo 3DS,Apple,Computers_and_Electronics,0.3593459,Nintendo,Nintendo
Greece,Winchester,Law_and_Government,0.1779341,Athens,Winchester
Netherlands Trading Society,Ottawa,Business_and_Industrial,0.15672253,Amsterdam,Ottawa
IBM Rational Automation Framework,Boeing,Computers_and_Electronics,0.17499137,IBM,Boeing
The Legend of Zelda,Australia,Games,0.06844928,Japan,Australia
Fiat 10 HP,Boeing,Autos_and_Vehicles,0.31033105,Fiat,Boeing
Porsche 993,Renault,Autos_and_Vehicles,0.40700072,Porsche,Renault
Renault 4,BMW,Autos_and_Vehicles,0.52124333,Renault,BMW
Microsoft Office 2007,Adobe,Computers_and_Electronics,0.39974636,Microsoft,Adobe
Bentley Turbo R,Toyota,Autos_and_Vehicles,0.4232926,Bentley,Toyota
Skype Technologies,Adobe,Internet_and_Telecom,0.2020061,Microsoft,Microsoft
Porsche 911,Microsoft,Autos_and_Vehicles,0.18652523,Porsche,Microsoft
BMW M3,Chevrolet,Autos_and_Vehicles,0.53895235,BMW,Chevrolet
Sergey Sokolov,Japan,Law_and_Government,0.24770996,Russia,Japan
Suzuki Lapin,Ferrari,Autos_and_Vehicles,0.39079267,Suzuki,Ferrari
Paradise PD,NBC,Arts_and_Entertainment,0.15373446,Netflix,NBC
Nokia N80,Porsche,Computers_and_Electronics,0.1987658,Nokia,Porsche
Gianni Infantino Riovaldi,Canada,Sports,0.10498971,Italy,Canada
Visakhapatnam district,Peru,Business_and_Industrial,0.2091105,India,Peru
PlayStation 2,Google,Computers_and_Electronics,0.21247877,Sony,Google
Belarus,Russia,Jobs_and_Education,0.6800917,Belarus,Russia
Lata Mangeshkar,Netherlands,Arts_and_Entertainment,0.17639518,India,Netherlands
Sarvepalli Radhakrishnan,Hungary,Law_and_Government,0.16049162,India,Hungary
Nissan Primera P12,Nokia,Autos_and_Vehicles,0.16359472,Nissan,Nokia
Nokia 6610,Fiat,Computers_and_Electronics,0.17342846,Nokia,Fiat
IBM SAN File System,Nintendo,Computers_and_Electronics,0.13763867,IBM,Nintendo
Fiat 500 Moretti Coupé,BMW,Autos_and_Vehicles,0.45620883,Fiat,BMW
Porsche 550,Toyota,Autos_and_Vehicles,0.48954597,Porsche,Toyota
Porsche 959,Toyota,Autos_and_Vehicles,0.4843562,Porsche,Toyota
Shigeru Miyamoto,Kazakhstan,Arts_and_Entertainment,0.19991714,Japan,Kazakhstan
Kobe Bryant,football,Sports,0.30756652,basketball,football
BMW N47,Volvo,Autos_and_Vehicles,0.50747013,BMW,Volvo
Akira Kurosawa,Mexico,Arts_and_Entertainment,0.11700234,Japan,Mexico
