subject,target_true,domain,similarity,target_new,prediction
Senkichi Taniguchi,Japan,Law_and_Government,0.37551755,England,England
Porsche 911,Porsche,Autos_and_Vehicles,0.8264444,Toyota,Toyota
Renault Mégane,Renault,Autos_and_Vehicles,0.74255276,Honda,Honda
Nissan Cima,Nissan,Autos_and_Vehicles,0.7344675,Cadillac,Cadillac
Chrysler RFE transmission,Chrysler,Autos_and_Vehicles,0.5031955,Nissan,Nissan
Apple iAd Producer,Apple,Computers_and_Electronics,0.6338774,Intel,Intel
Hisashi Inoue,Japan,Law_and_Government,0.37221056,Ireland,Ireland
Pahlavi Iran,Tehran,Law_and_Government,0.5645472,Kiev,Kiev
Matsuo Bashō,Japan,Law_and_Government,0.26315105,Cuba,Cuba
Toyota Harrier,Toyota,Autos_and_Vehicles,0.71718156,Cadillac,Cadillac
Ichiro Suzuki,Japan,Sports,0.36991066,Canada,Canada
Persian Film,Persian,Arts_and_Entertainment,0.7663794,Russian,Russian
Google Chrome,Google,Computers_and_Electronics,0.5333756,Microsoft,Microsoft
Zeitschrift fuer Germanistik,German,People_and_Society,0.58813006,Italian,Italian
Chrysler RFE transmission,Chrysler,Autos_and_Vehicles,0.5031955,Nintendo,Nintendo
Microsoft Office 2010,Microsoft,Computers_and_Electronics,0.5901111,IBM,IBM
iPhone 12,Apple,Computers_and_Electronics,0.5117384,Nokia,Nokia
Odessa,Ukraine,Business_and_Industrial,0.64439213,Serbia,Serbia
Metropolitan City of Naples,Naples,People_and_Society,0.77968717,Prague,Prague
Xbox 360,Microsoft,Computers_and_Electronics,0.47268212,Nissan,Nissan
GO Transit,Toronto,Travel_and_Transportation,0.25869167,Nashville,Nashville
Nokia 2330 Classic,Nokia,Computers_and_Electronics,0.7412649,Honda,Honda
Airbus A300-600ST Beluga,Airbus,Autos_and_Vehicles,0.6003819,Honda,Honda
Dodge Sprinter,Dodge,Autos_and_Vehicles,0.7609713,Porsche,Porsche
Ferrari F40,Ferrari,Autos_and_Vehicles,0.8088397,Honda,Honda
Porsche 993,Porsche,Autos_and_Vehicles,0.8135498,Nissan,Nissan
Toyota AZ engine,Toyota,Autos_and_Vehicles,0.6418855,Chrysler,Chrysler
Mecklenburg-Western Pomerania,Germany,Jobs_and_Education,0.4153576,Bulgaria,Bulgaria
Fiat 522,Fiat,Autos_and_Vehicles,0.7988572,Honda,Honda
Ferrari F399,Ferrari,Autos_and_Vehicles,0.81852037,Chevrolet,Chevrolet
Republic of Egypt (1953–1958),Cairo,Law_and_Government,0.4788562,Dublin,Dublin
Nokia Asha 205,Nokia,Computers_and_Electronics,0.77404773,Renault,Renault
Yahoo Games,Yahoo,Games,0.62144303,Paris,Yahoo
Nokia X2-02,Nokia,Computers_and_Electronics,0.74945444,Honda,Honda
Ferrari F310,Ferrari,Autos_and_Vehicles,0.8004565,Renault,Renault
Honda CB650SC,Honda,Autos_and_Vehicles,0.5867445,Cadillac,Cadillac
Chevrolet Tru 140S,Chevrolet,Autos_and_Vehicles,0.5478186,Volvo,Volvo
Nissan Cima,Nissan,Autos_and_Vehicles,0.7344675,Volvo,Volvo
Porsche 911 GT1,Porsche,Autos_and_Vehicles,0.7247269,BMW,BMW
Toyota Camry XV30,Toyota,Autos_and_Vehicles,0.57691824,Dodge,Dodge
Intel Core i5,Intel,Computers_and_Electronics,0.6835482,Suzuki,Suzuki
Nokia 6650 fold,Nokia,Computers_and_Electronics,0.5986712,Renault,Renault
Burkina Faso,Africa,People_and_Society,0.6640835,Europe,Europe
Apple Thunderbolt Display,Apple,Computers_and_Electronics,0.2940157,Microsoft,Microsoft
European Union,English,Law_and_Government,0.38458365,Greek,Greek
Honda VT600C,Honda,Autos_and_Vehicles,0.57953703,Nokia,Nokia
Honda NSX (second generation),Honda,Autos_and_Vehicles,0.62392545,Volvo,Volvo
Kunsthaus Tacheles,Berlin,Arts_and_Entertainment,0.5152234,Hollywood,Hollywood
Toyota Camry XV20,Toyota,Autos_and_Vehicles,0.5900469,Nokia,Nokia
Windows Phone 8.1,Microsoft,Computers_and_Electronics,0.36508757,Dodge,Dodge
Renault 14,Renault,Autos_and_Vehicles,0.8750398,Fiat,Fiat
Kotono Mitsuishi,Japan,Law_and_Government,0.31472975,Sweden,Sweden
India,English,Jobs_and_Education,0.4222414,Italian,Italian
Boeing 737,Boeing,Autos_and_Vehicles,0.7383023,Honda,Honda
Rajneesh,India,Arts_and_Entertainment,0.39922905,Brazil,Brazil
IBM Home Page Reader,IBM,Computers_and_Electronics,0.4445899,Square,Square
Rajneesh,India,Arts_and_Entertainment,0.39922905,Russia,Russia
Cadillac Type 51,Cadillac,Autos_and_Vehicles,0.73535013,Honda,Honda
Ferrari 195 S,Ferrari,Autos_and_Vehicles,0.77693427,Triumph,Triumph
BMW M1,BMW,Autos_and_Vehicles,0.7705219,Triumph,Triumph
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,Porsche,Porsche
Nokia 6700 slide,Nokia,Computers_and_Electronics,0.6064953,Dodge,Dodge
Bank of Italy,Rome,Finance,0.4942989,Toronto,Toronto
Le Monde,France,News,0.5147195,India,India
Nokia N78,Nokia,Computers_and_Electronics,0.8016609,Fiat,Fiat
Ferrari California,Ferrari,Autos_and_Vehicles,0.9003384,Honda,Honda
Apple Wireless Mouse,Apple,Computers_and_Electronics,0.47301406,Sega,Sega
Nissan GTP ZX-Turbo,Nissan,Autos_and_Vehicles,0.54291105,Honda,Honda
"Clementine Churchill, Baroness Spencer-Churchill",London,News,0.19677864,Portugal,Portugal
IBM SAN File System,IBM,Computers_and_Electronics,0.42634618,Apple,Apple
Chrysler Town and Country (pre-1990),Chrysler,Autos_and_Vehicles,0.700227,Toyota,Toyota
Microsoft Office 2007,Microsoft,Computers_and_Electronics,0.5901456,Adobe,Adobe
IBM Unica NetInsight,IBM,Computers_and_Electronics,0.5492524,Sega,Sega
iPhone X,Apple,Computers_and_Electronics,0.6332896,Nissan,Nissan
Chrome OS,Google,Computers_and_Electronics,0.27314392,Apple,Apple
Renault 25,Renault,Autos_and_Vehicles,0.8373145,Chevrolet,Chevrolet
Nitobe Inazō,Japan,Law_and_Government,0.3275518,Brazil,Brazil
IBM Rational Automation Framework,IBM,Computers_and_Electronics,0.49653086,Amazon,Amazon
Itkulovo,Russian,Jobs_and_Education,0.26510093,Finnish,Finnish
Toyota Corolla Spacio,Toyota,Autos_and_Vehicles,0.5938465,Fiat,Fiat
Windows NT,Microsoft,Computers_and_Electronics,0.5841652,Intel,Intel
Nokia 6650 fold,Nokia,Computers_and_Electronics,0.5986712,Sony,Sony
Chevrolet Chevy 500,Chevrolet,Autos_and_Vehicles,0.7382224,Honda,Honda
Yojimbo,Japan,Arts_and_Entertainment,0.32778817,Switzerland,Switzerland
The Sisterhood of the Traveling Pants,English,Arts_and_Entertainment,0.16438624,Latin,Latin
Apple HD SC Setup,Apple,Computers_and_Electronics,0.28436905,Sony,Sony
Nintendo DS,Nintendo,Computers_and_Electronics,0.7757567,Microsoft,Microsoft
Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung,German,People_and_Society,0.4125991,Spanish,Spanish
Goethe-Institut Denmark,Copenhagen,Jobs_and_Education,0.6162371,London,London
Final Fantasy,Square,Games,0.17362338,Apple,Apple
Belize,English,Jobs_and_Education,0.22254285,Ukrainian,Ukrainian
Nissan Primera P12,Nissan,Autos_and_Vehicles,0.5483972,Chevrolet,Chevrolet
Belarus,Belarus,Jobs_and_Education,1.0000001,Fiji,Fiji
Kotono Mitsuishi,Japan,Law_and_Government,0.31472975,Greece,Greece
Boeing 777,Boeing,Business_and_Industrial,0.76884496,Apple,Apple
Toyota AD engine,Toyota,Autos_and_Vehicles,0.59926945,Fiat,Fiat
Guyana,English,Jobs_and_Education,0.2265767,Swedish,Swedish
Microsoft Surface,Microsoft,Computers_and_Electronics,0.5933078,Apple,Apple
Google Jamboard,Google,Online_Communities,0.38955948,Cadillac,Cadillac
Airbus A310,Airbus,Autos_and_Vehicles,0.72732747,Iran,Iran
Boeing 777,Boeing,Business_and_Industrial,0.76884496,Toyota,Toyota
Nokia 6600 slide,Nokia,Computers_and_Electronics,0.56505746,IBM,IBM
Charles I of Austria,Vienna,Law_and_Government,0.5490359,Paris,Paris
Renault Laguna,Renault,Autos_and_Vehicles,0.77368236,Fiat,Fiat
Airbus A318,Airbus,Autos_and_Vehicles,0.76909465,Renault,Renault
OneDrive,Microsoft,Computers_and_Electronics,0.4073013,Hamburg,Hamburg
Nissan Rogue,Nissan,Autos_and_Vehicles,0.7844906,Yamaha,Yamaha
Porsche 959,Porsche,Autos_and_Vehicles,0.7979906,Nissan,Nissan
Stagecoach in Cambridge,Cambridge,Travel_and_Transportation,0.63040626,Tehran,Tehran
Toyota Camry XV40,Toyota,Autos_and_Vehicles,0.56710315,Apple,Apple
Sony Reader,Sony,Computers_and_Electronics,0.74078417,Dodge,Dodge
Barbados,English,Law_and_Government,0.28058642,Ukrainian,Ukrainian
Macintosh Quadra 800,Apple,Computers_and_Electronics,0.27768907,IBM,IBM
Thailand,Asia,People_and_Society,0.7641442,Antarctica,Antarctica
Windows Phone 7.x,Microsoft,Computers_and_Electronics,0.4211044,Nissan,Nissan
Rajneesh,India,People_and_Society,0.39922905,Poland,Poland
BMW N47,BMW,Autos_and_Vehicles,0.82539415,Dodge,Dodge
Toyota NZ engine,Toyota,Autos_and_Vehicles,0.576648,Boeing,Boeing
GO Transit,Toronto,Travel_and_Transportation,0.25869167,London,London
Sony Alpha 99,Sony,Computers_and_Electronics,0.78806275,Toyota,Toyota
Piraeus,Greece,Business_and_Industrial,0.52776945,India,India
Fiat 522,Fiat,Autos_and_Vehicles,0.7988572,BMW,BMW
BMW N55,BMW,Autos_and_Vehicles,0.79872805,Microsoft,Microsoft
Google Chrome,Google,Computers_and_Electronics,0.5333756,Sega,Sega
Warner Music Japan,Tokyo,Arts_and_Entertainment,0.47454432,Paris,Tokyo
Porsche 904,Porsche,Autos_and_Vehicles,0.80420077,Toyota,Toyota
BMW N57,BMW,Autos_and_Vehicles,0.814489,Suzuki,Suzuki
Fiat 500 Moretti Coupé,Fiat,Autos_and_Vehicles,0.6721959,Toyota,Toyota
Cloud SDK,Google,Computers_and_Electronics,0.21303827,Germany,Germany
WWE Books,WWE,Books_and_Literature,0.6635605,IBM,IBM
Gmail,Google,Internet_and_Telecom,0.46826535,Sega,Sega
iPhone 13,Apple,Computers_and_Electronics,0.5369006,Nissan,Nissan
Fiat 16-20 HP,Fiat,Autos_and_Vehicles,0.6681334,Chevrolet,Chevrolet
Montesquieu,French,Jobs_and_Education,0.38263217,Russian,Russian
Honda Bali,Honda,Autos_and_Vehicles,0.6622735,Ferrari,Ferrari
Google Vault,Google,Internet_and_Telecom,0.45156628,Frankfurt,Google
Windows 2000,Microsoft,Computers_and_Electronics,0.48770016,Sega,Sega
Airbus A330neo,Airbus,Autos_and_Vehicles,0.66816354,Cadillac,Cadillac
Nissan R88C,Nissan,Autos_and_Vehicles,0.7074607,Jeep,Jeep
IBM Rational ClearQuest,IBM,Computers_and_Electronics,0.45973444,Google,Google
Buenos Aires,Argentina,Business_and_Industrial,0.73297596,Finland,Finland
Nokia 7270,Nokia,Computers_and_Electronics,0.7712946,Toyota,Nokia
Oslo Municipality,Oslo,Law_and_Government,0.8625026,Jerusalem,Jerusalem
BMW N47,BMW,Autos_and_Vehicles,0.82539415,Ferrari,Ferrari
Honda Bali,Honda,Autos_and_Vehicles,0.6622735,Dodge,Dodge
Toyota NZ,Toyota,Autos_and_Vehicles,0.8382431,Ferrari,Ferrari
iPhone 11 Pro,Apple,Computers_and_Electronics,0.46185893,Douglas,Douglas
Barbados,English,Law_and_Government,0.28058642,Bulgarian,Bulgarian
Giuliano Vassalli,Italy,Law_and_Government,0.34132808,Bolivia,Bolivia
Philippines,Manila,Travel_and_Transportation,0.8793317,Georgetown,Manila
BMW GINA,BMW,Autos_and_Vehicles,0.75757104,Nintendo,Nintendo
Nexus One,Google,Computers_and_Electronics,0.25151956,Microsoft,Microsoft
Chrysler Phaeton,Chrysler,Autos_and_Vehicles,0.7406421,Honda,Honda
Nissan Primera P12,Nissan,Autos_and_Vehicles,0.5483972,Douglas,Douglas
IBM Rational Automation Framework,IBM,Computers_and_Electronics,0.49653086,Microsoft,Microsoft
Super Mario Bros.,Japan,Games,0.33383545,India,India
Google Chat,Google,Online_Communities,0.49713862,Suzuki,Suzuki
Adobe Photoshop,Adobe,Computers_and_Electronics,0.7648551,Microsoft,Microsoft
Nissan NPT-90,Nissan,Autos_and_Vehicles,0.6260925,Boeing,Boeing
Honda NSR75,Honda,Autos_and_Vehicles,0.6752424,Boeing,Boeing
Nintendo 3DS,Nintendo,Computers_and_Electronics,0.7157253,Apple,Nintendo
Greece,Athens,Law_and_Government,0.79594815,Winchester,Winchester
Netherlands Trading Society,Amsterdam,Business_and_Industrial,0.5677755,Ottawa,Ottawa
IBM Rational Automation Framework,IBM,Computers_and_Electronics,0.49653086,Boeing,Boeing
The Legend of Zelda,Japan,Games,0.25015512,Australia,Australia
Fiat 10 HP,Fiat,Autos_and_Vehicles,0.7012785,Boeing,Boeing
Porsche 993,Porsche,Autos_and_Vehicles,0.8135498,Renault,Renault
Renault 4,Renault,Autos_and_Vehicles,0.8747053,BMW,BMW
Microsoft Office 2007,Microsoft,Computers_and_Electronics,0.5901456,Adobe,Adobe
Bentley Turbo R,Bentley,Autos_and_Vehicles,0.75093937,Toyota,Toyota
Skype Technologies,Microsoft,Internet_and_Telecom,0.35579127,Adobe,Microsoft
Porsche 911,Porsche,Autos_and_Vehicles,0.8264444,Microsoft,Microsoft
BMW M3,BMW,Autos_and_Vehicles,0.85206366,Chevrolet,Chevrolet
Sergey Sokolov,Russia,Law_and_Government,0.40938133,Japan,Japan
Suzuki Lapin,Suzuki,Autos_and_Vehicles,0.7925144,Ferrari,Ferrari
Paradise PD,Netflix,Arts_and_Entertainment,0.27857736,NBC,NBC
Nokia N80,Nokia,Computers_and_Electronics,0.8103324,Porsche,Porsche
Gianni Infantino Riovaldi,Italy,Sports,0.2917623,Canada,Canada
Visakhapatnam district,India,Business_and_Industrial,0.37387574,Peru,Peru
PlayStation 2,Sony,Computers_and_Electronics,0.61852086,Google,Google
Belarus,Belarus,Jobs_and_Education,1.0000001,Russia,Russia
Lata Mangeshkar,India,Arts_and_Entertainment,0.30426604,Netherlands,Netherlands
Sarvepalli Radhakrishnan,India,Law_and_Government,0.3561631,Hungary,Hungary
Nissan Primera P12,Nissan,Autos_and_Vehicles,0.5483972,Nokia,Nokia
Nokia 6610,Nokia,Computers_and_Electronics,0.7991103,Fiat,Fiat
IBM SAN File System,IBM,Computers_and_Electronics,0.42634618,Nintendo,Nintendo
Fiat 500 Moretti Coupé,Fiat,Autos_and_Vehicles,0.6721959,BMW,BMW
Porsche 550,Porsche,Autos_and_Vehicles,0.8087783,Toyota,Toyota
Porsche 959,Porsche,Autos_and_Vehicles,0.7979906,Toyota,Toyota
Shigeru Miyamoto,Japan,Arts_and_Entertainment,0.32892537,Kazakhstan,Kazakhstan
Kobe Bryant,basketball,Sports,0.5281104,football,football
BMW N47,BMW,Autos_and_Vehicles,0.82539415,Volvo,Volvo
Akira Kurosawa,Japan,Arts_and_Entertainment,0.38350233,Mexico,Mexico
